customer_id,full_name,gender,age,region,city,phone_number,email,sim_type,plan_name,plan_price,activation_date,contract_length_months,monthly_data_used_gb,monthly_voice_minutes,monthly_sms_count,monthly_bill_amount,payment_method,payment_status,last_payment_date,device_type,device_brand,network_type,customer_service_calls,complaint_type,satisfaction_score,churn_status,signup_channel,referral_code,account_balance
CUST13225,Hodan Xasan,male,74,Banaadir,Hargeisa,252061561343,hodan.xasan554@gmail.com,PREPAID,Data Saver,5,11-Apr-2020,6.0,8.86,282,401,12.58,Bank Transfer,Paid,,Smartphone,Xiaomi,4G LTE,13,Call Drop,2,Yes,Call Center,REF6332,88.32
CUST14619,Ubah Sheikh,F,43,Bay,Bosaso,+252055473275,ubah.sheikh979@gmail.com,Prepaid,Business Pro,20,2025-01-14,,7.83,2484,347,26.96,Sahal,Overdue,16/11/2025,Tablet,Tecno,2G,6,Call Drop,N/A,Y,Online,,9.75
CUST11340,Sahra Hussein,female,45,Togdheer,Berbera,0410 894 520,sahra.hussein792@hotmail.com,Postpaid,Data Saver,5,2022/12/09,0.0,1.19,969,481,3.76,Sahal,Overdue,10-03-2024,Tablet,Huawei,3G,5,Call Drop,3,Yes,AGENT,,66.25
CUST10194,Nasra Ahmed,female,66,Togdheer,Berbera,0892 392 312,,Prepaid,Business Pro,$20.00,2022-03-28,24.0,1.66,1255,358,23.26,CASH,Failed,2025-09-15,Tablet,Itel,4G LTE,7,SIM Swap,1,No,RETAIL STORE,,50.76
CUST15837,Osman Osman,F,47,Galguduud,Baidoa,0874485958,osman.osman404@gmail.com,prepaid,Unlimited Max,25,2021-02-19,,2.12,157,405,25.21,Sahal,Overdue,31-Aug-2024,Tablet,Itel,2G,5,Network Issue,5,N,online,,110.94
CUST19629,Ahmed Cali,Female,69,Gedo,Galkayo,252680106489,ahmed.cali957@,Prepaid,Basic Talk,$3.00,27-Jan-2020,12.0,1.95,515,323,4.66,EVC Plus,Overdue,2026-11-04,Feature Phone,Xiaomi,2G,12,None,N/A,No,Call Center,,160.44
CUST17861,Waris Dahir,female,33,Galguduud,Garowe,+252376779301,waris.dahir557@gmial.com,Prepaid,Business Pro,20,03-18-2025,12.0,0.88,2402,159,21.08,sahal,Paid,,Mobile Hotspot,Tecno,4G LTE,0,Billing Dispute,1,0,online,,92.44
CUST15252,Ikran Nur,Male,36,Togdheer,Kismayo,0197576763,ikran.nur537@gmail.com,Postpaid,Business Pro,20,15/03/2020,0.0,4.78,221,97,22.84,  EVC Plus  ,Pending,2024/02/11,Smartphone,Nokia,3G,10,No Complaint,3,Yes,RETAIL STORE,REF4641,58.53
CUST12397,Bashir Guled,F,68,Gedo,Marka,+252 82 677 5393,bashir.guled737@gmail.com,Prepaid,Family Share,12,05-21-2024,,0.1,407,322,12.12,cash,Overdue,,Smartphone,Tecno,4G LTE,3,Call Drop,3,N,Agent,,152.66
CUST18439,Halima Cali,Female,62,BANAADIR,Mogadishu,252579212657,halima.cali419@hotmail.com,Prepaid,Basic Talk,3,04/10/2020,24.0,2.14,2717,477,2.28,SAHAL,Pending,21/10/2024,Mobile Hotspot,Itel,4G LTE,12,No Complaint,5,0,Call Center,REF7102,105.7
